Property Type,Size(m²),Rooms,Floor,Furnished,Shareable,Pets allowed,Elevator,Senior friendly,Students only,Balcony,Parking,Dishwasher,Washing machine,Electric charging station,Dryer,Energy rating,Rental period,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,Listing-id,Adress,district
Apartment,52,2,3,No,No,Yes,No,Not specified,Not specified,Yes,No,Not specified,Not specified,No,Not specified,-,24+ months,As soon as possible,12000,900,36000,,48900,26/02/2024,5422117,"Taarbækdalsvej, 2930 København, Klampenborg  - 3rd floor",Klampenborg
Room,12,1,0,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,,12-23 months,1 April 2024,5300,0,5300,5300,15900,26/02/2024,5403651,"Ellegårdsvænge, 2820 København, Gentofte  - Ground floor",Gentofte
Apartment,63,2,2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,-,Unlimited,30 June 2024,10500,700,31500,10500,53200,26/02/2024,5422113,"Carolinehaven, 2665 København, Vallensbæk Strand  - 2nd floor",Vallensbæk Strand
Apartment,44,1,4,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,,Unlimited,31 March 2024,10900,250,32700,10900,54750,26/02/2024,5214304,"Søndre Fasanvej, 2500 København, Valby  - 4th floor",Valby
Room,9,1,2,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,Unlimited,As soon as possible,5629,447,16887,5629,28592,26/02/2024,5352985,"Strandlodsvej, 2300 København, København S  - 2nd floor",København S
House,167,5,0,No,No,No,Not specified,Not specified,Not specified,Not specified,Yes,Yes,Yes,Not specified,Not specified,-,12-23 months,15 May 2024,18500,1500,50000,20000,90000,26/02/2024,4764421,"Alkmaar Alle, 2791 København, Dragør ",Dragør
Apartment,51,1,4,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,10 July 2024,9000,500,27000,9000,45500,26/02/2024,5422104,"Sydvestvej, 2600 København, Glostrup  - 4th floor",Glostrup
Apartment,57,2,5,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,31 May 2024,10600,700,31800,10600,53700,26/02/2024,5422101,"Hørkær, 2730 København, Herlev  - 5th floor",Herlev
Apartment,78,4,3,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,31 May 2024,12700,900,38100,12700,64400,26/02/2024,5422100,"Hørkær, 2730 København, Herlev  - 3rd floor",Herlev
Apartment,51,1,4,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,10 July 2024,9000,500,27000,9000,45500,26/02/2024,5422099,"Sydvestvej, 2600 København, Glostrup  - 4th floor",Glostrup
Apartment,79,3,2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,30 April 2024,11950,900,35850,11950,60650,26/02/2024,5422078,"Torvevej, 2740 København, Skovlunde  - 2nd floor",Skovlunde
Apartment,65,2,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,30 April 2024,9550,750,28650,9550,48500,26/02/2024,5422077,"Blokhaven, 2740 København, Skovlunde  - Ground floor",Skovlunde
Apartment,68,2,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,30 April 2024,9850,800,29550,9850,50050,26/02/2024,5422075,"Blokhaven, 2740 København, Skovlunde  - 1st floor",Skovlunde
Apartment,53,2,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,30 April 2024,9350,600,28050,9350,47350,26/02/2024,5422074,"Blokhaven, 2740 København, Skovlunde  - Ground floor",Skovlunde
Apartment,79,3,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,30 April 2024,11450,900,34350,11450,58150,26/02/2024,5422073,"Torvevej, 2740 København, Skovlunde  - Ground floor",Skovlunde
Apartment,76,3,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,30 April 2024,11250,850,33750,11250,57100,26/02/2024,5422072,"Blokhaven, 2740 København, Skovlunde  - Ground floor",Skovlunde
Apartment,86,4,2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,30 April 2024,13600,1000,40800,13600,69000,26/02/2024,5422071,"Torvevej, 2740 København, Skovlunde  - 2nd floor",Skovlunde
Apartment,88,3,1,No,No,No,No,No,No,No,No,Not specified,Not specified,No,Not specified,-,Unlimited,1 May 2024,16500,500,49500,0,66500,26/02/2024,5422047,"Bomhusvej, 2100 København, København Ø  - 1st floor",København Ø
Apartment,101,4,1,No,No,No,No,No,No,No,No,Not specified,Not specified,No,Not specified,-,Unlimited,1 May 2024,18750,700,56250,0,75700,26/02/2024,5422046,"Bomhusvej, 2100 København, København Ø  - 1st floor",København Ø
Apartment,31,1,6,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,-,Unlimited,30 June 2024,7700,400,23100,7700,38900,26/02/2024,5422045,"Viola Nørløvs Gade, 2450 København, København SV  - 6th floor",København SV
Room,14,1,1,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,,12-23 months,As soon as possible,8000,0,8000,0,16000,26/02/2024,5421763,"Blytækkervej, 2400 København, København NV  - 1st floor",København NV
Room,15,1,0,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Not specified,Yes,-,1-11 months,As soon as possible,4900,0,4900,0,9800,26/02/2024,5422025,"Rævehøjvej, 2800 København, Kongens Lyngby ",Kongens Lyngby
Apartment,75,3,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,1 May 2024,11550,700,34650,11550,58450,26/02/2024,5422021,"Blokhaven, 2740 København, Skovlunde  - 1st floor",Skovlunde
Apartment,64,2,0,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,,Unlimited,As soon as possible,10000,500,20000,0,30500,26/02/2024,5421998,"Tommerupgade, 2630 København, Taastrup  - Ground floor",Taastrup
Apartment,87,3,0,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,,Unlimited,As soon as possible,12500,900,20000,0,33400,26/02/2024,5421985,"Tommerupgade, 2630 København, Taastrup  - Ground floor",Taastrup
Apartment,119,4,0,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,20000,1570,60000,20000,101570,26/02/2024,5351637,"C V E Knuths Vej, 2900 København, Hellerup  - Ground floor",Hellerup
Apartment,148,4,1,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,21500,1450,64500,21500,108950,26/02/2024,5422012,"C V E Knuths Vej, 2900 København, Hellerup  - 1st floor",Hellerup
Apartment,149,4,1,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,23500,1550,70500,23500,119050,26/02/2024,5224634,"C V E Knuths Vej, 2900 København, Hellerup  - 1st floor",Hellerup
Apartment,131,5,4,No,No,Yes,Yes,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,-,Unlimited,1 June 2024,19900,1450,59700,0,81050,26/02/2024,5422011,"Ved Stigbordene, 2450 København, København SV  - 4th floor",København SV
Apartment,167,4,0,No,No,No,Not specified,Not specified,Not specified,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,25250,1809,75750,25250,128059,26/02/2024,4963012,"C V E Knuths Vej, 2900 København, Hellerup  - Ground floor",Hellerup
Apartment,90,3,0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,18965,1920,56895,18965,96745,26/02/2024,5422009,"C V E Knuths Vej, 2900 København, Hellerup  - Ground floor",Hellerup
Apartment,103,1,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,18500,1000,55500,18500,93500,26/02/2024,5422007,"Islands Brygge, 2300 København, København S  - 1st floor",København S
Apartment,103,2,3,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,18950,1000,56850,18950,95750,26/02/2024,4634871,"Islands Brygge, 2300 København, København S  - 3rd floor",København S
Apartment,149,4,3,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,25000,1300,75000,25000,126300,26/02/2024,5422006,"C V E Knuths Vej, 2900 København, Hellerup  - 3rd floor",Hellerup
Apartment,108,4,2,No,No,Yes,Yes,Not specified,Not specified,Yes,Yes,Yes,No,No,No,-,Unlimited,1 April 2024,17460,1970,52380,17460,89270,26/02/2024,5422003,"Ben Websters Vej, 2450 København, København SV  - 2nd floor",København SV
Apartment,95,3,0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,18400,1380,55200,18400,93380,26/02/2024,5422002,"C V E Knuths Vej, 2900 København, Hellerup  - Ground floor",Hellerup
Apartment,29,1,0,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,,Unlimited,31 March 2024,9000,400,18000,9000,36400,22/02/2024,5421354,"Njalsgade, 2300 København, København S  - Ground floor",København S
Apartment,103,4,0,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,14263,1147,42789,14263,72462,26/02/2024,5422000,"Rådhusdammen, 2620 København, Albertslund  - Ground floor",Albertslund
Apartment,86,3,6,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,12271,935,36813,12271,62290,26/02/2024,5421999,"Rådhusdammen, 2620 København, Albertslund  - 6th floor",Albertslund
Apartment,82,3,0,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,11261,887,33783,11261,57192,26/02/2024,5421997,"Rådhusdammen, 2620 København, Albertslund  - Ground floor",Albertslund
Apartment,86,3,5,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,12548,932,37644,12548,63672,26/02/2024,5421996,"Rådhusdammen, 2620 København, Albertslund  - 5th floor",Albertslund
Apartment,108,4,6,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,16087,1167,48261,16087,81602,26/02/2024,5273297,"Rådhusdammen, 2620 København, Albertslund  - 6th floor",Albertslund
Apartment,103,4,1,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,14478,1147,43434,14478,73537,26/02/2024,5421993,"Rådhusdammen, 2620 København, Albertslund  - 1st floor",Albertslund
Apartment,85,3,6,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,12440,919,37320,12440,63119,26/02/2024,5421990,"Rådhusdammen, 2620 København, Albertslund  - 6th floor",Albertslund
Apartment,115,3,1,No,No,No,No,Not specified,Not specified,No,No,Not specified,Not specified,No,Not specified,-,Unlimited,As soon as possible,19250,1000,57750,57750,135750,26/02/2024,5208573,"Nørregade, 1165 København, København K  - 1st floor",København K
Apartment,104,4,3,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,14692,1127,44076,14692,74587,26/02/2024,5421987,"Rådhusdammen, 2620 København, Albertslund  - 3rd floor",Albertslund
Apartment,80,3,4,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,12226,872,36678,12226,62002,26/02/2024,5421986,"Rådhusdammen, 2620 København, Albertslund  - 4th floor",Albertslund
Apartment,80,3,0,No,No,No,No,No,No,Yes,No,Yes,No,No,No,,24+ months,1 October 2024,14500,1000,43500,0,59000,26/02/2024,5325975,"Broholms Alle, 2920 København, Charlottenlund  - Ground floor",Charlottenlund
Apartment,89,3,2,No,No,Yes,Yes,Yes,No,Yes,No,Not specified,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,14700,1000,44100,0,59800,26/02/2024,5289019,"Ved Stigbordene, 2450 København, København SV  - 2nd floor",København SV
Apartment,101,4,2,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,14049,1092,42147,14049,71337,26/02/2024,5421982,"Rådhusdammen, 2620 København, Albertslund  - 2nd floor",Albertslund
Apartment,104,4,1,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,15 April 2024,12550,1905,37650,12550,64655,26/02/2024,5421948,"Trelleborggade, 2630 København, Taastrup  - 1st floor",Taastrup
Apartment,104,4,3,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 May 2024,12750,1905,38250,12750,65655,26/02/2024,5421945,"Trelleborggade, 2630 København, Taastrup  - 3rd floor",Taastrup
Room,14,1,-1,No,No,No,No,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,4000,0,4000,0,8000,24/02/2024,5201596,"Strøbyvej, 2650 København, Hvidovre  - Basement",Hvidovre
Apartment,104,4,3,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,15 April 2024,12600,1905,37800,12600,64905,26/02/2024,5421942,"Trelleborggade, 2630 København, Taastrup  - 3rd floor",Taastrup
Apartment,77,2,2,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 April 2024,9750,1365,29250,9750,50115,26/02/2024,5421939,"Trelleborggade, 2630 København, Taastrup  - 2nd floor",Taastrup
Apartment,93,3,3,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,15 April 2024,11100,1660,33000,11100,56860,26/02/2024,5421938,"Trelleborggade, 2630 København, Taastrup  - 3rd floor",Taastrup
Apartment,87,3,3,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,11400,1600,34200,11400,58600,26/02/2024,5421935,"Trelleborggade, 2630 København, Taastrup  - 3rd floor",Taastrup
Apartment,154,6,0,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not specified,Yes,,1-11 months,1 September 2024,24000,1000,24000,0,49000,26/02/2024,5421722,"Dyrehavevej, 2930 København, Klampenborg  - Ground floor",Klampenborg
Apartment,97,3,4,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,13250,1710,39750,13250,67960,26/02/2024,5421934,"Bornholms Alle, 2630 København, Taastrup  - 4th floor",Taastrup
Apartment,132,4,0,No,Yes,No,No,Not specified,Not specified,Yes,Yes,Yes,No,No,No,-,Unlimited,As soon as possible,17496,2080,52488,52488,124552,26/02/2024,5421917,"Vestre Gade, 2605 København, Brøndby ",Brøndby
Apartment,120,4,0,No,Yes,No,No,Not specified,Not specified,Yes,No,Yes,No,No,No,-,Unlimited,As soon as possible,16765,1550,50295,50295,118905,26/02/2024,5421916,"Vestre Gade, 2605 København, Brøndby ",Brøndby
Apartment,107,3,5,No,Yes,Yes,Yes,Not specified,Not specified,Yes,Yes,Yes,No,No,No,-,Unlimited,30 April 2024,13700,1000,41100,13700,69500,26/02/2024,5421914,"Amalieparken, 2665 København, Vallensbæk Strand  - 5th floor",Vallensbæk Strand
Apartment,128,4,5,No,Yes,Yes,Yes,Not specified,Not specified,Yes,Yes,Yes,No,No,No,-,Unlimited,As soon as possible,15770,1200,47310,15770,80050,26/02/2024,5421911,"Margrethevænget, 2665 København, Vallensbæk Strand  - 5th floor",Vallensbæk Strand
Apartment,93,3,0,No,Yes,No,Yes,Not specified,Not specified,Yes,Yes,Yes,No,No,No,-,Unlimited,31 May 2024,11700,1350,35100,11700,59850,26/02/2024,5421881,"Delta Park, 2665 København, Vallensbæk Strand  - Ground floor",Vallensbæk Strand
Apartment,128,4,3,No,Yes,Yes,Yes,Not specified,Not specified,Yes,Yes,Yes,No,No,No,-,Unlimited,31 May 2024,15400,1200,46200,15400,78200,26/02/2024,5421870,"Margrethevænget, 2665 København, Vallensbæk Strand  - 3rd floor",Vallensbæk Strand
Apartment,102,4,6,No,Yes,Yes,Yes,Not specified,Not specified,Yes,Yes,Yes,No,No,No,-,Unlimited,As soon as possible,14525,1400,43575,14525,74025,26/02/2024,5421869,"Gyngemose Parkvej, 2860 København, Søborg  - 6th floor",Søborg
Apartment,102,3,5,No,Yes,Yes,Yes,Not specified,Not specified,Yes,Yes,Yes,No,No,No,-,Unlimited,30 April 2024,13900,1000,41700,13900,70500,26/02/2024,5421858,"Amalieparken, 2665 København, Vallensbæk Strand  - 5th floor",Vallensbæk Strand
Apartment,259,8,4,No,No,No,Yes,Not specified,Not specified,No,No,Yes,Yes,No,Yes,-,Unlimited,As soon as possible,31369,2700,94107,94107,222283,26/02/2024,5421854,"Trianglen, 2100 København, København Ø  - 4th floor",København Ø
Apartment,95,3,0,No,Yes,No,Yes,Not specified,Not specified,Yes,Yes,Yes,No,No,No,-,Unlimited,30 April 2024,11700,1270,35100,11700,59770,26/02/2024,5421846,"Delta Park, 2665 København, Vallensbæk Strand  - Ground floor",Vallensbæk Strand
Apartment,100,4,2,No,Yes,Yes,Yes,Not specified,Not specified,Yes,Yes,Yes,No,No,No,-,Unlimited,31 March 2024,14275,1000,42825,14275,72375,26/02/2024,5421841,"Irmavej, 2610 København, Rødovre  - 2nd floor",Rødovre
Townhouse,103,4,0,No,No,No,Yes,No,No,Yes,No,Yes,Not specified,Not specified,Not specified,-,Unlimited,1 June 2024,16095,700,48285,16095,81175,26/02/2024,5421824,"Ålekistevej, 2720 København, Vanløse ",Vanløse
Apartment,92,3,3,No,No,No,No,No,No,Yes,No,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,11332,1660,33825,11332,58149,26/02/2024,5421822,"Jens Kofoeds Gade, 2630 København, Taastrup  - 3rd floor",Taastrup
Apartment,90,3,0,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 April 2024,13093,1100,39279,13093,66565,26/02/2024,5421808,"Robert Jacobsens Vej, 2300 København, København S  - Ground floor",København S
Apartment,64,2,3,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 April 2024,12792,800,38376,12792,64760,26/02/2024,5421806,"Robert Jacobsens Vej, 2300 København, København S  - 3rd floor",København S
Apartment,100,3,1,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 April 2024,13728,1200,41184,13728,69840,26/02/2024,5421805,"Robert Jacobsens Vej, 2300 København, København S  - 1st floor",København S
Room,8,1,1,Yes,No,No,No,No,No,No,No,Yes,Yes,Not specified,Yes,,1-11 months,1 September 2024,5250,500,10000,0,15750,26/02/2024,5326610,"Lyngbyvej, 2820 København, Gentofte  - 1st floor",Gentofte
Apartment,106,4,1,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,14820,1200,44460,14820,75300,26/02/2024,5248306,"Robert Jacobsens Vej, 2300 København, København S  - 1st floor",København S
Apartment,56,2,0,No,No,No,No,No,No,No,No,Not specified,Yes,Not specified,Yes,-,12-23 months,As soon as possible,9600,0,20000,9600,39200,26/02/2024,4994296,"Niels W. Gades Gade, 2100 København, København Ø ",København Ø
Apartment,105,4,2,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,14768,1200,44304,14768,75040,26/02/2024,5421804,"Robert Jacobsens Vej, 2300 København, København S  - 2nd floor",København S
Apartment,77,3,0,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,12475,900,37425,12475,63275,26/02/2024,5421802,"Richard Mortensens Vej, 2300 København, København S  - Ground floor",København S
Townhouse,128,5,0,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,16380,1500,49140,16380,83400,26/02/2024,5421800,"Robert Jacobsens Vej, 2300 København, København S ",København S
Apartment,65,2,4,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,12962,800,38886,12962,65610,26/02/2024,5421799,"Richard Mortensens Vej, 2300 København, København S  - 4th floor",København S
Apartment,103,4,2,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 May 2024,14716,1200,44148,14716,74780,26/02/2024,5242937,"Richard Mortensens Vej, 2300 København, København S  - 2nd floor",København S
Room,12,1,2,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Not specified,Yes,,1-11 months,As soon as possible,3450,0,0,0,3450,26/02/2024,5385411,"Emdrupvej, 2400 København, København NV  - 2nd floor",København NV
Apartment,69,2,0,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,12475,900,37425,12475,63275,26/02/2024,5421792,"Robert Jacobsens Vej, 2300 København, København S  - Ground floor",København S
Apartment,83,3,0,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,12660,1100,37980,12660,64400,26/02/2024,5421790,"Richard Mortensens Vej, 2300 København, København S  - Ground floor",København S
Apartment,72,2,0,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,12475,600,37425,12475,62975,26/02/2024,5351632,"Richard Mortensens Vej, 2300 København, København S  - Ground floor",København S
Apartment,80,3,1,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,13115,1100,39345,13115,66675,26/02/2024,5421785,"Richard Mortensens Vej, 2300 København, København S  - 1st floor",København S
Townhouse,126,5,0,No,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,16588,1500,49764,16588,84440,26/02/2024,5421784,"Richard Mortensens Vej, 2300 København, København S ",København S
Apartment,269,7,3,No,No,No,Yes,Not specified,Not specified,Yes,No,Not specified,Not specified,No,Not specified,-,Unlimited,As soon as possible,37458,2000,112374,112374,264206,25/02/2024,5421749,"Trondhjemsgade, 2100 København, København Ø  - 3rd floor",København Ø
Room,25,1,4,No,No,No,No,No,No,No,No,Yes,Not specified,Not specified,Not specified,,24+ months,1 April 2024,6000,0,12300,0,18300,25/02/2024,5172043,"Rosenørns Alle, 1970 København, Frederiksberg C  - 4th floor",Frederiksberg C
Apartment,123,3,2,Yes,Yes,No,Yes,Not specified,Not specified,Yes,No,Not specified,Not specified,No,Not specified,-,1-11 months,As soon as possible,23000,958,69000,,92958,25/02/2024,5421743,"Ny Carlsberg Vej, 1799 København, København V  - 2nd floor",København V
Apartment,90,3,0,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Not specified,Yes,,12-23 months,15 April 2024,14000,0,28000,14000,56000,25/02/2024,5382909,"Strandboulevarden, 2100 København, København Ø  - Ground floor",København Ø
Room,28,1,0,Yes,Yes,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,,12-23 months,1 April 2024,6000,500,6000,0,12500,25/02/2024,5266572,"Askøgade, 2100 København, København Ø  - Ground floor",København Ø
Room,20,1,2,No,Yes,No,No,No,No,Yes,Yes,Not specified,Not specified,Not specified,Not specified,,12-23 months,As soon as possible,13500,500,13500,0,27500,25/02/2024,5339589,"Jægersborgvej, 2820 København, Gentofte  - 2nd floor",Gentofte
Apartment,54,2,2,No,Yes,No,No,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,,12-23 months,As soon as possible,9000,500,18800,0,28300,25/02/2024,4464777,"Landlystvej, 2500 København, Valby  - 2nd floor",Valby
Apartment,102,4,4,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,,24+ months,1 April 2024,16900,1000,50700,0,68600,25/02/2024,4846917,"Richard Mortensens Vej, 2300 København, København S  - 4th floor",København S
Room,17,1,2,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,,1-11 months,30 April 2024,6000,0,6000,0,12000,25/02/2024,5113765,"H.C. Ørsteds Vej, 1879 København, Frederiksberg C  - 2nd floor",Frederiksberg C
House,232,7,0,No,No,No,No,No,No,Yes,Yes,Not specified,Not specified,Not specified,Not specified,,12-23 months,As soon as possible,32000,500,96000,32000,160500,24/02/2024,5299520,"Tagestorp, 2820 København, Gentofte ",Gentofte
Room,12,1,1,Yes,No,No,No,No,Yes,Yes,No,Not specified,Yes,Not specified,Yes,,Unlimited,As soon as possible,4500,0,6000,0,10500,24/02/2024,5421646,"Tranevej, 2400 København, København NV  - 1st floor",København NV
Apartment,80,2,0,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Not specified,Not specified,,Unlimited,1 April 2024,12000,1500,36000,0,49500,23/02/2024,5421583,"Gentoftegade, 2820 København, Gentofte  - Ground floor",Gentofte
Apartment,86,3,3,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,1 May 2024,15900,1000,47700,15900,80500,23/02/2024,5421548,"Strandlodsvej, 2300 København, København S  - 3rd floor",København S
Apartment,98,3,1,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,15 April 2024,16500,1100,49500,16500,83600,23/02/2024,5421547,"Strandlodsvej, 2300 København, København S  - 1st floor",København S
Apartment,95,3,1,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,1 June 2024,16250,1100,48750,16250,82350,23/02/2024,5421546,"Strandlodsvej, 2300 København, København S  - 1st floor",København S
Room,24,1,2,No,No,No,Yes,No,No,No,No,Yes,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,4950,535,14850,4950,25285,23/02/2024,5421535,"Rabarbervej, 2400 København, København NV  - 2nd floor",København NV
Apartment,93,3,3,No,No,Yes,No,Not specified,Not specified,No,No,Yes,Yes,Yes,Yes,,Unlimited,1 June 2024,14100,1000,42300,14100,71500,23/02/2024,5421533,"Richard Mortensens Vej, 2300 København, København S  - 3rd floor",København S
Apartment,86,3,0,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,,Unlimited,As soon as possible,11800,880,35400,0,48080,23/02/2024,5401766,"Skovlunde Torv, 2740 København, Skovlunde  - Ground floor",Skovlunde
Apartment,86,3,0,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,,Unlimited,As soon as possible,11800,880,35400,0,48080,23/02/2024,5401769,"Skovlunde Torv, 2740 København, Skovlunde  - Ground floor",Skovlunde
Apartment,78,3,0,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 May 2024,12800,980,38400,12800,64980,23/02/2024,3992430,"Edithsvej, 2600 København, Glostrup ",Glostrup
Apartment,85,3,2,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,,Unlimited,15 June 2024,13000,935,13000,0,26935,23/02/2024,5421527,"Vallensbæk Stationstorv, 2665 København, Vallensbæk Strand  - 2nd floor",Vallensbæk Strand
Apartment,162,5,2,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Not specified,Yes,,1-11 months,As soon as possible,30000,5000,30000,60000,125000,23/02/2024,5421382,"Amagerbrogade, 2300 København, København S  - 2nd floor",København S
